영화코드,누적관객수,영화이름
20183782,9774306,기생충
20183867,9222631,알라딘
20182387,860921,엑스맨: 다크 피닉스
19880001,142372,이웃집 토토로
20198291,98703,로켓맨
20188941,3346654,악인전
20184865,352862,고질라: 킹 오브 몬스터
20199063,44189,빅샤크2: 해저2만리
20184889,13887813,어벤져스: 엔드게임
20188144,133522,0.0MHz
20196657,843649,맨 인 블랙: 인터내셔널
20190273,228365,천로역정: 천국을 찾아서
20191401,30244,업사이드
20190466,31379,세상을 바꾼 변호인
20184047,2783699,토이 스토리 4
20198453,1076588,롱 리브 더 킹: 목포 영웅
20196655,853607,존 윅 3: 파라벨룸
20190885,46546,사탄의 인형
20199951,398494,애나벨 집으로
20182585,199009,비스트
20192022,37437,마담 싸이코
20196309,4521617,스파이더맨: 파 프롬 홈
20192591,25000,BIFAN2019 판타스틱 단편 걸작선 1
